timestamp,source_ip,destination_ip,source_port,destination_port,protocol,packet_length
2025-03-25 19:10:36,10.14.146.133,10.14.147.255,37386,58581,UDP,166
2025-03-25 19:10:36,10.14.146.89,224.0.0.251,5353,5353,UDP,119
2025-03-25 19:10:36,10.14.146.133,10.14.147.255,37386,58581,UDP,166
2025-03-25 19:10:37,10.14.146.133,10.14.147.255,37386,58581,UDP,166
2025-03-25 19:10:37,10.14.146.133,10.14.147.255,37386,58581,UDP,166
2025-03-25 19:10:37,10.14.146.90,4.225.11.192,53472,443,TCP,54
2025-03-25 19:10:37,10.14.146.90,4.225.11.192,53472,443,TCP,54
2025-03-25 19:10:37,4.225.11.192,10.14.146.90,443,53472,TCP,54
2025-03-25 19:10:37,4.225.11.192,10.14.146.90,443,53472,TCP,54
2025-03-25 19:10:37,10.14.146.133,10.14.147.255,37386,58581,UDP,166
2025-03-25 19:10:37,10.14.146.133,10.14.147.255,37386,58581,UDP,166
2025-03-25 19:10:38,10.14.146.151,224.0.0.251,5353,5353,UDP,87
2025-03-25 19:10:38,10.14.146.151,224.0.0.251,5353,5353,UDP,87
2025-03-25 19:10:38,10.14.146.133,10.14.147.255,37386,58581,UDP,166
2025-03-25 19:10:38,10.14.146.133,10.14.147.255,37386,58581,UDP,166
2025-03-25 19:10:38,10.14.146.133,10.14.147.255,37386,58581,UDP,166
2025-03-25 19:10:38,10.14.146.133,10.14.147.255,37386,58581,UDP,166
2025-03-25 19:10:39,10.14.146.133,10.14.147.255,37386,58581,UDP,166
2025-03-25 19:10:39,10.14.146.133,10.14.147.255,37386,58581,UDP,166
2025-03-25 19:10:40,10.14.146.133,10.14.147.255,37386,58581,UDP,166
2025-03-25 19:10:40,10.14.146.133,10.14.147.255,37386,58581,UDP,166
2025-03-25 19:10:40,10.14.146.133,10.14.147.255,37386,58581,UDP,166
2025-03-25 19:10:40,10.14.146.133,10.14.147.255,37386,58581,UDP,166
2025-03-25 19:10:41,10.14.146.133,10.14.147.255,37386,58581,UDP,166
2025-03-25 19:10:41,10.14.146.133,10.14.147.255,37386,58581,UDP,166
2025-03-25 19:10:41,10.14.146.251,224.0.0.22,0,0,Other,60
2025-03-25 19:10:41,10.14.146.251,224.0.0.22,0,0,Other,60
2025-03-25 19:10:41,10.14.146.25,224.0.0.251,5353,5353,UDP,322
2025-03-25 19:10:41,10.14.146.25,224.0.0.251,5353,5353,UDP,322
2025-03-25 19:10:41,10.14.146.25,224.0.0.251,5353,5353,UDP,93
2025-03-25 19:10:41,10.14.146.25,224.0.0.251,5353,5353,UDP,93
2025-03-25 19:10:41,10.14.146.251,224.0.0.22,0,0,Other,60
2025-03-25 19:10:41,10.14.146.251,224.0.0.22,0,0,Other,60
2025-03-25 19:10:41,10.14.146.251,224.0.0.22,0,0,Other,60
2025-03-25 19:10:41,10.14.146.251,224.0.0.22,0,0,Other,60
2025-03-25 19:10:41,10.14.146.251,224.0.0.252,58744,5355,UDP,73
2025-03-25 19:10:41,10.14.146.251,224.0.0.22,0,0,Other,60
2025-03-25 19:10:41,10.14.146.251,224.0.0.22,0,0,Other,60
2025-03-25 19:10:41,10.14.146.251,224.0.0.252,58744,5355,UDP,73
2025-03-25 19:10:41,10.14.146.25,224.0.0.251,5353,5353,UDP,93
2025-03-25 19:10:41,10.14.146.25,224.0.0.251,5353,5353,UDP,93
2025-03-25 19:10:41,10.14.146.133,10.14.147.255,37386,58581,UDP,166
2025-03-25 19:10:41,10.14.146.133,10.14.147.255,37386,58581,UDP,166
2025-03-25 19:10:41,10.14.146.251,224.0.0.22,0,0,Other,60
2025-03-25 19:10:41,10.14.146.251,224.0.0.22,0,0,Other,60
2025-03-25 19:10:41,10.14.146.251,224.0.0.252,58744,5355,UDP,73
2025-03-25 19:10:41,10.14.146.251,224.0.0.252,58744,5355,UDP,73
2025-03-25 19:10:41,10.14.146.25,224.0.0.251,5353,5353,UDP,93
2025-03-25 19:10:41,10.14.146.25,224.0.0.251,5353,5353,UDP,93
2025-03-25 19:10:41,10.14.146.114,224.0.0.251,5353,5353,UDP,93
2025-03-25 19:10:41,10.14.146.114,224.0.0.251,5353,5353,UDP,93
2025-03-25 19:10:42,10.14.146.133,10.14.147.255,37386,58581,UDP,166
2025-03-25 19:10:42,10.14.146.133,10.14.147.255,37386,58581,UDP,166
2025-03-25 19:10:42,10.14.146.25,224.0.0.251,5353,5353,UDP,387
2025-03-25 19:10:42,10.14.146.25,224.0.0.251,5353,5353,UDP,387
2025-03-25 19:10:42,10.14.146.25,224.0.0.251,5353,5353,UDP,323
2025-03-25 19:10:42,10.14.146.25,224.0.0.251,5353,5353,UDP,323
2025-03-25 19:10:42,10.14.146.134,10.14.147.255,138,138,UDP,218
2025-03-25 19:10:42,10.14.146.134,10.14.147.255,138,138,UDP,218
2025-03-25 19:10:42,10.14.146.114,224.0.0.251,5353,5353,UDP,93
2025-03-25 19:10:42,10.14.146.114,224.0.0.251,5353,5353,UDP,93
2025-03-25 19:10:42,10.14.146.114,224.0.0.251,5353,5353,UDP,93
2025-03-25 19:10:42,10.14.146.114,224.0.0.251,5353,5353,UDP,93
2025-03-25 19:10:42,10.14.146.133,10.14.147.255,37386,58581,UDP,166
2025-03-25 19:10:42,10.14.146.133,10.14.147.255,37386,58581,UDP,166
2025-03-25 19:10:42,10.14.146.114,224.0.0.251,5353,5353,UDP,299
2025-03-25 19:10:42,10.14.146.114,224.0.0.251,5353,5353,UDP,299
2025-03-25 19:10:42,10.14.146.114,224.0.0.251,5353,5353,UDP,235
2025-03-25 19:10:42,10.14.146.114,224.0.0.251,5353,5353,UDP,235
2025-03-25 19:10:42,10.14.146.129,224.0.0.251,55181,5353,UDP,93
2025-03-25 19:10:42,10.14.146.129,224.0.0.251,55181,5353,UDP,93
2025-03-25 19:10:42,10.14.146.129,224.0.0.251,55181,5353,UDP,93
2025-03-25 19:10:42,10.14.146.129,224.0.0.251,55181,5353,UDP,93
2025-03-25 19:10:42,10.14.146.129,224.0.0.251,55181,5353,UDP,93
2025-03-25 19:10:42,10.14.146.129,224.0.0.251,55181,5353,UDP,93
2025-03-25 19:10:42,10.14.146.114,224.0.0.251,5353,5353,UDP,235
2025-03-25 19:10:42,10.14.146.114,224.0.0.251,5353,5353,UDP,235
2025-03-25 19:10:42,10.14.146.114,224.0.0.251,5353,5353,UDP,235
2025-03-25 19:10:42,10.14.146.114,224.0.0.251,5353,5353,UDP,235
2025-03-25 19:10:42,10.14.146.133,10.14.147.255,37386,58581,UDP,166
2025-03-25 19:10:42,10.14.146.133,10.14.147.255,37386,58581,UDP,166
2025-03-25 19:10:43,10.14.146.151,239.255.255.250,59190,1900,UDP,212
2025-03-25 19:10:43,10.14.146.151,239.255.255.250,59190,1900,UDP,212
2025-03-25 19:10:43,10.14.146.133,10.14.147.255,37386,58581,UDP,166
2025-03-25 19:10:43,10.14.146.133,10.14.147.255,37386,58581,UDP,166
